Customer ID,Country,City,State,Postal Code,Region
CB-12025,United States,Hamilton,Ohio,45011,East
CB-12415,United States,Columbus,Ohio,43229,East
CB-12535,United States,Chapel Hill,North Carolina,27514,South
CC-12100,United States,Columbus,Indiana,47201,Central
CC-12145,United States,Los Angeles,California,90004,West
CC-12220,United States,La Porte,Indiana,46350,Central
CC-12370,United States,Fayetteville,North Carolina,28314,South
CC-12430,United States,Columbus,Indiana,47201,Central
CC-12475,United States,New York City,New York,10024,East
CC-12550,United States,San Francisco,California,94122,West
CC-12610,United States,Philadelphia,Pennsylvania,19134,East
CC-12670,United States,New York City,New York,10009,East
CC-12685,United States,Greensboro,North Carolina,27405,South
CD-11920,United States,Lake Elsinore,California,92530,West
CD-11980,United States,Tyler,Texas,75701,Central
CD-12280,United States,Seattle,Washington,98105,West
CD-12790,United States,San Diego,California,92037,West
CG-12040,United States,Philadelphia,Pennsylvania,19120,East
CG-12520,United States,Henderson,Kentucky,42420,South
CH-12070,United States,Raleigh,North Carolina,27604,South
CJ-11875,United States,Philadelphia,Pennsylvania,19140,East
CJ-12010,United States,Huntington Beach,California,92646,West
CK-12205,United States,Philadelphia,Pennsylvania,19120,East
CK-12325,United States,Orem,Utah,84057,West
CK-12595,United States,Grove City,Ohio,43123,East
CK-12760,United States,Linden,New Jersey,7036,East
CL-11890,United States,Everett,Massachusetts,2149,East
CL-12565,United States,Urbandale,Iowa,50322,Central
CL-12700,United States,Springfield,Missouri,65807,Central
CM-11815,United States,Pasadena,Texas,77506,Central
CM-11935,United States,Fayetteville,North Carolina,28314,South
CM-12115,United States,New York City,New York,10011,East
CM-12160,United States,Brownsville,Texas,78521,Central
CM-12190,United States,Philadelphia,Pennsylvania,19134,East
CM-12235,United States,Carrollton,Texas,75007,Central
CM-12385,United States,Atlanta,Georgia,30318,South
CM-12445,United States,San Francisco,California,94122,West
CM-12655,United States,Los Angeles,California,90008,West
CM-12715,United States,Huntsville,Texas,77340,Central
Co-12640,United States,Philadelphia,Pennsylvania,19143,East
CP-12085,United States,Norwich,Connecticut,6360,East
CP-12340,United States,New York City,New York,10009,East
CR-12580,United States,Elmhurst,Illinois,60126,Central
CR-12625,United States,Lakewood,New Jersey,8701,East
CR-12730,United States,Columbus,Ohio,43229,East
CR-12820,United States,New York City,New York,10035,East
CS-11845,United States,Seattle,Washington,98105,West
CS-11860,United States,Jacksonville,North Carolina,28540,South
CS-11950,United States,Chicago,Illinois,60610,Central
CS-12130,United States,Los Angeles,California,90004,West
CS-12175,United States,Columbia,Tennessee,38401,South
CS-12250,United States,Bossier City,Louisiana,71111,South
CS-12355,United States,Roswell,Georgia,30076,South
CS-12400,United States,Chicago,Illinois,60623,Central
CS-12460,United States,Columbus,Georgia,31907,South
CS-12490,United States,Conroe,Texas,77301,Central
CS-12505,United States,Thomasville,North Carolina,27360,South
CT-11995,United States,Rochester,Minnesota,55901,Central
CV-12295,United States,Fresno,California,93727,West
CV-12805,United States,New York City,New York,10035,East
CW-11905,United States,Huntsville,Texas,77340,Central
CY-12745,United States,Oakland,California,94601,West
DA-13450,United States,Houston,Texas,77095,Central
DB-12910,United States,Tampa,Florida,33614,South
DB-12970,United States,Los Angeles,California,90004,West
DB-13060,United States,Seattle,Washington,98115,West
DB-13120,United States,Santa Clara,California,95051,West
DB-13210,United States,Houston,Texas,77041,Central
DB-13270,United States,San Diego,California,92024,West
DB-13360,United States,New York City,New York,10009,East
DB-13405,United States,La Porte,Indiana,46350,Central
DB-13555,United States,Jacksonville,Florida,32216,South
DB-13615,United States,Los Angeles,California,90045,West
DB-13660,United States,Oceanside,New York,11572,East
DC-12850,United States,Florence,Alabama,35630,South
DC-13285,United States,Cottage Grove,Minnesota,55016,Central
DD-13570,United States,Houston,Texas,77041,Central
DE-13255,United States,Springfield,Ohio,45503,East
DF-13135,United States,Vallejo,California,94591,West
DG-13300,United States,Philadelphia,Pennsylvania,19134,East
DH-13075,United States,Richmond,Kentucky,40475,South
DH-13675,United States,Quincy,Massachusetts,2169,East
DJ-13420,United States,Warner Robins,Georgia,31088,South
DJ-13510,United States,Murfreesboro,Tennessee,37130,South
DJ-13630,United States,New York City,New York,10024,East
DK-12835,United States,Salinas,California,93905,West
DK-12895,United States,Kenosha,Wisconsin,53142,Central
DK-12985,United States,Henderson,Kentucky,42420,South
DK-13090,United States,Seattle,Washington,98103,West
DK-13150,United States,Decatur,Illinois,62521,Central
DK-13225,United States,Philadelphia,Pennsylvania,19140,East
DK-13375,United States,Marion,Ohio,43302,East
DL-12865,United States,Cincinnati,Ohio,45231,East
DL-12925,United States,Oceanside,California,92054,West
DL-13315,United States,New York City,New York,10024,East
DL-13330,United States,Las Cruces,New Mexico,88001,West
DL-13495,United States,San Francisco,California,94110,West
Dl-13600,United States,Pasadena,Texas,77506,Central
DM-12955,United States,Lincoln Park,Michigan,48146,Central
DM-13015,United States,Encinitas,California,92024,West
DM-13345,United States,Roswell,Georgia,30076,South
DM-13525,United States,Houston,Texas,77070,Central
DN-13690,United States,San Francisco,California,94122,West
DO-13435,United States,Pembroke Pines,Florida,33024,South
DO-13645,United States,Los Angeles,California,90036,West
DP-13000,United States,New Albany,Indiana,47150,Central
DP-13105,United States,Salinas,California,93905,West
DP-13165,United States,New York City,New York,10035,East
Dp-13240,United States,Murray,Utah,84107,West
DP-13390,United States,Peoria,Illinois,61604,Central
DR-12880,United States,Chicago,Illinois,60623,Central
DR-12940,United States,Franklin,Massachusetts,2038,East
DS-13030,United States,Seattle,Washington,98115,West
DS-13180,United States,Detroit,Michigan,48227,Central
DV-13045,United States,Los Angeles,California,90036,West
DV-13465,United States,Denver,Colorado,80219,West
DW-13195,United States,Houston,Texas,77095,Central
DW-13480,United States,Lakeville,Minnesota,55044,Central
DW-13540,United States,Seattle,Washington,98105,West
DW-13585,United States,Columbus,Ohio,43229,East
EA-14035,United States,Charlotte,North Carolina,28205,South
EB-13705,United States,Akron,Ohio,44312,East
EB-13750,United States,Seattle,Washington,98103,West
EB-13840,United States,Seattle,Washington,98105,West
EB-13870,United States,Orem,Utah,84057,West
EB-13930,United States,San Francisco,California,94110,West
EB-13975,United States,Fairfield,California,94533,West
EB-14110,United States,Philadelphia,Pennsylvania,19134,East
EB-14170,United States,Wilmington,North Carolina,28403,South
EC-14050,United States,New York City,New York,10024,East
ED-13885,United States,San Diego,California,92037,West
EG-13900,United States,Oceanside,New York,11572,East
EH-13765,United States,Watertown,New York,13601,East
EH-13945,United States,Los Angeles,California,90049,West
EH-13990,United States,Roswell,Georgia,30076,South
EH-14005,United States,Denver,Colorado,80219,West
EH-14125,United States,Aurora,Illinois,60505,Central
EH-14185,United States,Decatur,Alabama,35601,South
EJ-13720,United States,San Diego,California,92037,West
EJ-14155,United States,Gulfport,Mississippi,39503,South
EK-13795,United States,Santa Ana,California,92704,West
EL-13735,United States,Columbia,Maryland,21044,East
EM-13810,United States,Los Angeles,California,90036,West
EM-13825,United States,Sioux Falls,South Dakota,57103,Central
EM-13960,United States,Philadelphia,Pennsylvania,19134,East
EM-14065,United States,New York City,New York,10024,East
EM-14095,United States,Los Angeles,California,90036,West
EM-14140,United States,Glendale,Arizona,85301,West
EM-14200,United States,Virginia Beach,Virginia,23464,South
EN-13780,United States,New York City,New York,10035,East
EP-13915,United States,Chicago,Illinois,60653,Central
ER-13855,United States,Saint Paul,Minnesota,55106,Central
ES-14020,United States,San Francisco,California,94110,West
ES-14080,United States,Melbourne,Florida,32935,South
FA-14230,United States,Long Beach,California,90805,West
FC-14245,United States,Lakewood,Ohio,44107,East
FC-14335,United States,Mesquite,Texas,75150,Central
FG-14260,United States,San Francisco,California,94110,West
FH-14275,United States,La Porte,Indiana,46350,Central
FH-14350,United States,Seattle,Washington,98105,West
FH-14365,United States,Philadelphia,Pennsylvania,19120,East
FM-14215,United States,Dublin,Ohio,43017,East
FM-14290,United States,Los Angeles,California,90032,West
FM-14380,United States,Aurora,Colorado,80013,West
FO-14305,United States,New York City,New York,10035,East
FP-14320,United States,Los Angeles,California,90008,West
FW-14395,United States,Huntsville,Alabama,35810,South
GA-14515,United States,San Francisco,California,94122,West
GA-14725,United States,Lorain,Ohio,44052,East
GB-14530,United States,Auburn,New York,13021,East
GB-14575,United States,Philadelphia,Pennsylvania,19134,East
GD-14590,United States,Philadelphia,Pennsylvania,19143,East
GG-14650,United States,Bristol,Tennessee,37620,South
GH-14410,United States,Glendale,Arizona,85301,West
GH-14425,United States,Tucson,Arizona,85705,West
GH-14485,United States,Richardson,Texas,75080,Central
GH-14665,United States,Round Rock,Texas,78664,Central
GK-14620,United States,Hesperia,California,92345,West
GM-14440,United States,San Francisco,California,94122,West
GM-14455,United States,Houston,Texas,77095,Central
GM-14500,United States,Providence,Rhode Island,2908,East
GM-14680,United States,Seattle,Washington,98105,West
GM-14695,United States,Los Angeles,California,90036,West
GP-14740,United States,Lancaster,Pennsylvania,17602,East
GR-14560,United States,San Francisco,California,94110,West
GT-14635,United States,Burlington,North Carolina,27217,South
GT-14710,United States,Houston,Texas,77070,Central
GT-14755,United States,Harlingen,Texas,78550,Central
GW-14605,United States,Seattle,Washington,98115,West
GZ-14470,United States,Rochester,Minnesota,55901,Central
GZ-14545,United States,Lawrence,Massachusetts,1841,East
HA-14905,United States,New York City,New York,10024,East
HA-14920,United States,Pasadena,California,91104,West
HD-14785,United States,Philadelphia,Pennsylvania,19143,East
HE-14800,United States,Chicago,Illinois,60623,Central
HF-14995,United States,Indianapolis,Indiana,46203,Central
HG-14845,United States,Lake Charles,Louisiana,70601,South
HG-14965,United States,Los Angeles,California,90032,West
HG-15025,United States,Amarillo,Texas,79109,Central
HH-15010,United States,San Francisco,California,94110,West
HJ-14875,United States,Jacksonville,Florida,32216,South
HK-14890,United States,Franklin,Tennessee,37064,South
HL-15040,United States,Houston,Texas,77095,Central
HM-14860,United States,Philadelphia,Pennsylvania,19120,East
HM-14980,United States,New York City,New York,10009,East
HP-14815,United States,Fort Worth,Texas,76106,Central
HR-14770,United States,Los Angeles,California,90045,West
HR-14830,United States,Seattle,Washington,98103,West
HW-14935,United States,San Diego,California,92105,West
HZ-14950,United States,Columbus,Ohio,43229,East
IG-15085,United States,San Diego,California,92024,West
IL-15100,United States,San Francisco,California,94122,West
IM-15055,United States,Roseville,California,95661,West
IM-15070,United States,Seattle,Washington,98103,West
JA-15970,United States,Phoenix,Arizona,85023,West
JB-15400,United States,Chicago,Illinois,60623,Central
JB-15925,United States,Dublin,Ohio,43017,East
JB-16000,United States,Brownsville,Texas,78521,Central
JB-16045,United States,Columbus,Georgia,31907,South
JC-15340,United States,Los Angeles,California,90032,West
JC-15385,United States,Kent,Washington,98031,West
JC-15775,United States,San Antonio,Texas,78207,Central
JC-16105,United States,Durham,North Carolina,27707,South
JD-15790,United States,Coppell,Texas,75019,Central
JD-15895,United States,Philadelphia,Pennsylvania,19140,East
JD-16015,United States,Chicago,Illinois,60610,Central
JD-16060,United States,San Francisco,California,94109,West
JD-16150,United States,Minneapolis,Minnesota,55407,Central
JE-15475,United States,Troy,New York,12180,East
JE-15610,United States,Milwaukee,Wisconsin,53209,Central
JE-15715,United States,Broomfield,Colorado,80020,West
JE-15745,United States,Memphis,Tennessee,38109,South
JE-16165,United States,Franklin,Wisconsin,53132,Central
JF-15190,United States,Los Angeles,California,90008,West
JF-15295,United States,Seattle,Washington,98103,West
JF-15355,United States,Austin,Texas,78745,Central
JF-15415,United States,New York City,New York,10024,East
JF-15490,United States,Seattle,Washington,98105,West
JF-15565,United States,Dallas,Texas,75081,Central
JG-15115,United States,Des Moines,Washington,98198,West
JG-15160,United States,Los Angeles,California,90049,West
JG-15310,United States,Providence,Rhode Island,2908,East
JG-15805,United States,New York City,New York,10024,East
JH-15430,United States,Burlington,North Carolina,27217,South
JH-15820,United States,Kent,Ohio,44240,East
JH-15910,United States,Los Angeles,California,90032,West
JH-15985,United States,Saginaw,Michigan,48601,Central
JH-16180,United States,Pueblo,Colorado,81001,West
JJ-15445,United States,Los Angeles,California,90004,West
JJ-15760,United States,Springfield,Virginia,22153,South
JK-15205,United States,San Francisco,California,94122,West
JK-15325,United States,Dallas,Texas,75220,Central
JK-15370,United States,Long Beach,California,90805,West
JK-15625,United States,Seattle,Washington,98115,West
JK-15640,United States,New York City,New York,10009,East
JK-15730,United States,Asheville,North Carolina,28806,South
JK-16090,United States,Omaha,Nebraska,68104,Central
JK-16120,United States,Aurora,Illinois,60505,Central
JL-15130,United States,Houston,Texas,77036,Central
JL-15175,United States,Columbia,Tennessee,38401,South
JL-15235,United States,Chicago,Illinois,60623,Central
JL-15505,United States,New York City,New York,10035,East
JL-15835,United States,Mission Viejo,California,92691,West
JL-15850,United States,Philadelphia,Pennsylvania,19134,East
JM-15250,United States,Charlotte,North Carolina,28205,South
JM-15265,United States,New York City,New York,10024,East
JM-15535,United States,Philadelphia,Pennsylvania,19143,East
JM-15580,United States,Monroe,North Carolina,28110,South
JM-15655,United States,Bridgeton,New Jersey,8302,East
JM-15865,United States,Jamestown,New York,14701,East
JM-16195,United States,Los Angeles,California,90004,West
JO-15145,United States,Philadelphia,Pennsylvania,19140,East
JO-15280,United States,Los Angeles,California,90004,West
JO-15550,United States,Chester,Pennsylvania,19013,East
JP-15460,United States,Oceanside,New York,11572,East
JP-15520,United States,San Francisco,California,94110,West
JP-16135,United States,Columbus,Georgia,31907,South
JR-15670,United States,Middletown,Connecticut,6457,East
JR-15700,United States,Jacksonville,Florida,32216,South
JR-16210,United States,Springfield,Ohio,45503,East
JS-15595,United States,Los Angeles,California,90045,West
JS-15685,United States,Los Angeles,California,90036,West
JS-15880,United States,Seattle,Washington,98103,West
JS-15940,United States,Park Ridge,Illinois,60068,Central
JS-16030,United States,Houston,Texas,77036,Central
JW-15220,United States,Vancouver,Washington,98661,West
JW-15955,United States,Oakland,California,94601,West
JW-16075,United States,Philadelphia,Pennsylvania,19140,East
KA-16525,United States,Ontario,California,91761,West
KB-16240,United States,Los Angeles,California,90036,West
KB-16315,United States,Minneapolis,Minnesota,55407,Central
KB-16405,United States,Apple Valley,California,92307,West
KB-16585,United States,Fremont,Nebraska,68025,Central
KB-16600,United States,Houston,Texas,77041,Central
KC-16255,United States,San Francisco,California,94110,West
KC-16540,United States,San Diego,California,92037,West
KC-16675,United States,Seattle,Washington,98105,West
KD-16270,United States,Springfield,Virginia,22153,South
KD-16345,United States,San Francisco,California,94122,West
KD-16495,United States,New York City,New York,10009,East
KD-16615,United States,Scottsdale,Arizona,85254,West
KE-16420,United States,Bristol,Tennessee,37620,South
KF-16285,United States,Manteca,California,95336,West
KH-16330,United States,Bowling Green,Kentucky,42104,South
KH-16360,United States,Philadelphia,Pennsylvania,19143,East
KH-16510,United States,San Francisco,California,94110,West
KH-16630,United States,San Antonio,Texas,78207,Central
KH-16690,United States,San Francisco,California,94110,West
KL-16555,United States,Colorado Springs,Colorado,80906,West
KL-16645,United States,Chicago,Illinois,60610,Central
KM-16225,United States,New York City,New York,10011,East
KM-16375,United States,Salem,Virginia,24153,South
KM-16660,United States,Roswell,Georgia,30076,South
KM-16720,United States,Los Angeles,California,90004,West
KN-16390,United States,Los Angeles,California,90004,West
KN-16450,United States,Jacksonville,Florida,32216,South
KN-16705,United States,Fort Collins,Colorado,80525,West
KS-16300,United States,Lehi,Utah,84043,West
KT-16465,United States,Los Angeles,California,90049,West
KT-16480,United States,Buffalo,New York,14215,East
KW-16435,United States,New York City,New York,10009,East
KW-16570,United States,Clarksville,Tennessee,37042,South
LA-16780,United States,Taylor,Michigan,48180,Central
LB-16735,United States,Fort Worth,Texas,76106,Central
LB-16795,United States,Highland Park,Illinois,60035,Central
LC-16870,United States,Aurora,Colorado,80013,West
LC-16885,United States,Roseville,California,95661,West
LC-16930,United States,Naperville,Illinois,60540,Central
LC-16960,United States,Arlington,Virginia,22204,South
LC-17050,United States,Mission Viejo,California,92691,West
LC-17140,United States,Dallas,Texas,75220,Central
LD-16855,United States,Chicago,Illinois,60653,Central
LD-17005,United States,San Francisco,California,94109,West
LE-16810,United States,Whittier,California,90604,West
LF-17185,United States,Miami,Florida,33180,South
LH-16750,United States,Charlotte,North Carolina,28205,South
LH-16900,United States,Dover,Delaware,19901,East
LH-17020,United States,Columbus,Ohio,43229,East
LH-17155,United States,San Francisco,California,94109,West
LL-16840,United States,Rochester,New York,14609,East
LM-17065,United States,Springfield,Ohio,45503,East
LO-17170,United States,La Quinta,California,92253,West
LP-17080,United States,San Francisco,California,94110,West
LP-17095,United States,Murray,Kentucky,42071,South
LR-16915,United States,San Diego,California,92024,West
LR-17035,United States,Philadelphia,Pennsylvania,19134,East
LS-16945,United States,Philadelphia,Pennsylvania,19140,East
LS-16975,United States,Los Angeles,California,90004,West
LS-17200,United States,Skokie,Illinois,60076,Central
LS-17230,United States,Dover,Delaware,19901,East
LS-17245,United States,Gladstone,Missouri,64118,Central
LT-16765,United States,Escondido,California,92025,West
LT-17110,United States,Lancaster,California,93534,West
LW-16825,United States,Deltona,Florida,32725,South
LW-16990,United States,San Francisco,California,94110,West
LW-17125,United States,Norwich,Connecticut,6360,East
LW-17215,United States,Pasadena,California,91104,West
MA-17560,United States,Houston,Texas,77095,Central
MA-17995,United States,Watertown,New York,13601,East
MB-17305,United States,Akron,Ohio,44312,East
MB-18085,United States,Vineland,New Jersey,8360,East
MC-17275,United States,Lafayette,Louisiana,70506,South
MC-17425,United States,Mobile,Alabama,36608,South
MC-17575,United States,Cincinnati,Ohio,45231,East
MC-17590,United States,Perth Amboy,New Jersey,8861,East
MC-17605,United States,Detroit,Michigan,48234,Central
MC-17635,United States,Saint Louis,Missouri,63116,Central
MC-17845,United States,Jackson,Mississippi,39212,South
MC-18100,United States,El Paso,Texas,79907,Central
MC-18130,United States,Monroe,Louisiana,71203,South
MD-17350,United States,Fayetteville,Arkansas,72701,South
MD-17860,United States,Indianapolis,Indiana,46203,Central
ME-17320,United States,Columbus,Georgia,31907,South
ME-17725,United States,Aurora,Colorado,80013,West
ME-18010,United States,San Francisco,California,94122,West
MF-17665,United States,Toledo,Ohio,43615,East
MF-18250,United States,Los Angeles,California,90036,West
MG-17650,United States,Philadelphia,Pennsylvania,19143,East
MG-17680,United States,Newark,Ohio,43055,East
MG-17695,United States,Buffalo,New York,14215,East
MG-17875,United States,New York City,New York,10011,East
MG-17890,United States,Clinton,Maryland,20735,East
MG-18145,United States,Philadelphia,Pennsylvania,19134,East
MG-18205,United States,Jacksonville,Florida,32216,South
MH-17290,United States,Los Angeles,California,90036,West
MH-17440,United States,New York City,New York,10035,East
MH-17455,United States,Jacksonville,North Carolina,28540,South
MH-17620,United States,San Francisco,California,94110,West
MH-17785,United States,Lindenhurst,New York,11757,East
MH-18025,United States,Seattle,Washington,98115,West
MH-18115,United States,Chester,Pennsylvania,19013,East
MJ-17740,United States,Seattle,Washington,98115,West
MK-17905,United States,Manchester,Connecticut,6040,East
MK-18160,United States,Jacksonville,Florida,32216,South
ML-17395,United States,Los Angeles,California,90008,West
ML-17410,United States,Fairfield,Connecticut,6824,East
ML-17755,United States,Suffolk,Virginia,23434,South
ML-18040,United States,Albuquerque,New Mexico,87105,West
ML-18265,United States,Seattle,Washington,98103,West
MM-17260,United States,Wilmington,Delaware,19805,East
MM-17920,United States,San Francisco,California,94110,West
MM-18055,United States,Seattle,Washington,98115,West
MM-18280,United States,Quincy,Illinois,62301,Central
MN-17935,United States,Dallas,Texas,75220,Central
MO-17500,United States,New York City,New York,10035,East
MO-17800,United States,New York City,New York,10009,East
MO-17950,United States,Dallas,Texas,75220,Central
MP-17470,United States,New York City,New York,10035,East
MP-17965,United States,Lawrence,Massachusetts,1841,East
MP-18175,United States,Laguna Niguel,California,92677,West
MR-17545,United States,Philadelphia,Pennsylvania,19140,East
MS-17365,United States,Detroit,Michigan,48227,Central
MS-17530,United States,San Diego,California,92037,West
MS-17710,United States,Mesa,Arizona,85204,West
MS-17770,United States,New York City,New York,10035,East
MS-17830,United States,Laredo,Texas,78041,Central
MS-17980,United States,Dallas,Texas,75220,Central
MT-17815,United States,Scottsdale,Arizona,85254,West
MT-18070,United States,Los Angeles,California,90045,West
MV-17485,United States,Arlington,Virginia,22204,South
MV-18190,United States,New York City,New York,10009,East
MW-18220,United States,New York City,New York,10035,East
MW-18235,United States,Virginia Beach,Virginia,23464,South
MY-17380,United States,Parker,Colorado,80134,West
MY-18295,United States,Grapevine,Texas,76051,Central
MZ-17335,United States,San Diego,California,92024,West
MZ-17515,United States,Redlands,California,92374,West
NB-18580,United States,Philadelphia,Pennsylvania,19134,East
NB-18655,United States,Dallas,Texas,75217,Central
NC-18340,United States,Lansing,Michigan,48911,Central
NC-18415,United States,Jacksonville,North Carolina,28540,South
NC-18535,United States,Dallas,Texas,75217,Central
NC-18625,United States,Aurora,Colorado,80013,West
ND-18370,United States,Louisville,Kentucky,40214,South
ND-18460,United States,Macon,Georgia,31204,South
NF-18385,United States,Jackson,Mississippi,39212,South
NF-18475,United States,Rockford,Illinois,61107,Central
NF-18595,United States,New York City,New York,10009,East
NG-18355,United States,New York City,New York,10011,East
NG-18430,United States,Cincinnati,Ohio,45231,East
NH-18610,United States,Irving,Texas,75061,Central
NK-18490,United States,Seattle,Washington,98105,West
NL-18310,United States,Los Angeles,California,90045,West
NM-18445,United States,New York City,New York,10024,East
NM-18520,United States,Riverside,California,92503,West
NP-18325,United States,Waynesboro,Virginia,22980,South
NP-18670,United States,Edmond,Oklahoma,73034,Central
NP-18685,United States,Niagara Falls,New York,14304,East
NP-18700,United States,Fresno,California,93727,West
NR-18550,United States,Aurora,Illinois,60505,Central
NS-18505,United States,Dallas,Texas,75217,Central
NS-18640,United States,Chicago,Illinois,60610,Central
