fact_table_natural_key (txn_id),accm_txn_complete_time
CA-2014-103807,2022-05-12 02:25:27
CA-2014-103849,2022-05-13 07:28:09
CA-2014-103940,2022-05-11 11:06:04
CA-2014-103989,2022-05-12 04:52:00
CA-2014-104178,2022-05-13 10:38:28
CA-2014-104269,2022-05-14 17:27:40
CA-2014-104283,2022-05-13 12:22:05
CA-2014-104402,2022-05-10 15:16:57
CA-2014-104472,2022-05-10 23:03:59
CA-2014-104563,2022-05-14 19:33:52
CA-2014-104738,2022-05-11 18:04:42
CA-2014-104773,2022-05-11 06:41:16
CA-2014-104780,2022-05-13 00:20:32
CA-2014-104808,2022-05-10 19:15:43
CA-2014-104829,2022-05-13 10:30:35
CA-2014-104976,2022-05-11 16:53:26
CA-2014-105165,2022-05-11 21:55:11
CA-2014-105172,2022-05-13 01:43:36
CA-2014-105249,2022-05-14 12:08:34
CA-2014-105270,2022-05-12 17:25:11
CA-2014-105340,2022-05-12 03:04:50
CA-2014-105417,2022-05-15 02:31:50
CA-2014-105648,2022-05-12 23:57:53
CA-2014-105872,2022-05-11 21:36:10
CA-2014-105893,2022-05-14 05:03:03
CA-2014-105984,2022-05-11 06:32:24
CA-2014-106054,2022-05-11 11:10:03
CA-2014-106229,2022-05-12 09:27:27
CA-2014-106264,2022-05-14 16:59:25
CA-2014-106376,2022-05-11 00:32:56
CA-2014-106439,2022-05-13 02:34:08
CA-2014-106572,2022-05-13 06:31:54
CA-2014-106719,2022-05-12 21:21:33
CA-2014-106726,2022-05-14 16:39:39
CA-2014-106803,2022-05-15 02:30:22
CA-2014-106810,2022-05-10 17:07:42
CA-2014-106971,2022-05-14 10:47:39
CA-2014-107139,2022-05-14 23:48:53
CA-2014-107153,2022-05-15 03:55:51
CA-2014-107181,2022-05-13 19:30:12
CA-2014-107398,2022-05-12 11:40:08
CA-2014-107454,2022-05-12 05:11:25
CA-2014-107524,2022-05-13 16:15:42
CA-2014-107573,2022-05-13 18:44:47
CA-2014-107594,2022-05-15 02:10:49
CA-2014-107706,2022-05-13 01:15:43
CA-2014-107755,2022-05-10 19:13:15
CA-2014-107769,2022-05-12 07:10:34
CA-2014-107811,2022-05-14 09:24:47
CA-2014-107818,2022-05-11 12:23:16
CA-2014-107916,2022-05-11 09:38:20
CA-2014-108147,2022-05-15 02:30:32
CA-2014-108182,2022-05-11 16:30:15
CA-2014-108189,2022-05-13 21:36:59
CA-2014-108273,2022-05-10 14:12:57
CA-2014-108609,2022-05-11 04:20:49
CA-2014-108707,2022-05-11 01:21:01
CA-2014-108861,2022-05-13 21:15:41
CA-2014-108903,2022-05-12 20:01:41
CA-2014-109043,2022-05-11 05:48:14
CA-2014-109127,2022-05-13 17:24:21
CA-2014-109134,2022-05-11 05:21:06
CA-2014-109218,2022-05-12 09:52:09
CA-2014-109232,2022-05-14 03:29:56
CA-2014-109302,2022-05-12 16:42:58
CA-2014-109491,2022-05-12 06:59:03
CA-2014-109680,2022-05-11 16:51:34
CA-2014-109855,2022-05-12 00:52:30
CA-2014-109890,2022-05-14 02:32:48
CA-2014-109897,2022-05-11 20:12:58
CA-2014-109904,2022-05-13 22:15:14
CA-2014-109918,2022-05-11 03:33:50
CA-2014-109932,2022-05-10 22:27:46
CA-2014-110030,2022-05-12 20:53:13
CA-2014-110065,2022-05-14 14:47:32
CA-2014-110072,2022-05-11 18:32:17
CA-2014-110100,2022-05-13 19:28:17
CA-2014-110184,2022-05-12 16:58:41
CA-2014-110219,2022-05-11 00:05:59
CA-2014-110352,2022-05-12 12:55:49
CA-2014-110408,2022-05-14 14:32:27
CA-2014-110422,2022-05-12 19:10:36
CA-2014-110527,2022-05-11 15:12:49
CA-2014-110555,2022-05-14 11:41:10
CA-2014-110611,2022-05-14 09:45:32
CA-2014-110639,2022-05-13 10:12:04
CA-2014-110786,2022-05-13 10:26:40
CA-2014-110849,2022-05-10 19:45:20
CA-2014-111003,2022-05-12 18:32:34
CA-2014-111059,2022-05-13 12:31:07
CA-2014-111150,2022-05-14 15:35:45
CA-2014-111157,2022-05-11 23:45:37
CA-2014-111192,2022-05-14 14:47:26
CA-2014-111360,2022-05-11 21:56:21
CA-2014-111451,2022-05-11 12:49:50
CA-2014-111500,2022-05-14 18:02:43
CA-2014-111773,2022-05-14 03:57:05
CA-2014-111857,2022-05-13 05:47:44
CA-2014-111871,2022-05-10 21:02:13
CA-2014-111899,2022-05-12 07:55:24
CA-2014-111934,2022-05-13 19:05:17
CA-2014-111962,2022-05-13 12:49:42
CA-2014-112158,2022-05-13 18:04:22
CA-2014-112291,2022-05-10 23:49:14
CA-2014-112326,2022-05-12 21:26:26
CA-2014-112403,2022-05-14 20:05:41
CA-2014-112718,2022-05-10 16:07:56
CA-2014-112837,2022-05-10 22:09:35
CA-2014-112851,2022-05-14 09:26:54
CA-2014-113047,2022-05-10 15:19:35
CA-2014-113166,2022-05-13 09:19:03
CA-2014-113257,2022-05-11 09:07:51
CA-2014-113271,2022-05-14 19:54:31
CA-2014-113320,2022-05-14 23:08:11
CA-2014-113362,2022-05-12 21:39:22
CA-2014-113383,2022-05-10 12:27:20
CA-2014-113579,2022-05-14 06:55:22
CA-2014-113768,2022-05-10 14:54:40
CA-2014-113859,2022-05-14 19:11:21
CA-2014-113880,2022-05-11 11:39:31
CA-2014-113887,2022-05-11 14:05:52
CA-2014-113929,2022-05-13 10:12:54
CA-2014-113964,2022-05-14 11:39:13
CA-2014-114125,2022-05-10 17:19:02
CA-2014-114181,2022-05-14 04:14:58
CA-2014-114195,2022-05-15 05:14:25
CA-2014-114251,2022-05-11 07:44:11
CA-2014-114314,2022-05-11 03:11:02
CA-2014-114321,2022-05-12 19:10:17
CA-2014-114335,2022-05-12 17:24:56
CA-2014-114433,2022-05-14 23:40:06
CA-2014-114510,2022-05-11 21:47:14
CA-2014-114517,2022-05-12 20:34:15
CA-2014-114643,2022-05-14 18:09:21
CA-2014-114790,2022-05-14 19:17:31
CA-2014-115049,2022-05-12 23:53:11
CA-2014-115056,2022-05-10 16:31:10
CA-2014-115084,2022-05-15 07:27:48
CA-2014-115133,2022-05-11 21:13:03
CA-2014-115161,2022-05-14 09:16:08
CA-2014-115259,2022-05-14 02:42:42
CA-2014-115336,2022-05-14 03:16:09
CA-2014-115357,2022-05-13 16:20:10
CA-2014-115791,2022-05-13 19:43:28
CA-2014-115812,2022-05-14 11:56:39
CA-2014-115889,2022-05-10 22:53:24
CA-2014-115973,2022-05-12 21:28:50
CA-2014-115980,2022-05-12 16:17:16
CA-2014-116190,2022-05-12 10:22:26
CA-2014-116239,2022-05-12 12:20:19
CA-2014-116246,2022-05-13 01:25:17
CA-2014-116407,2022-05-11 10:26:49
CA-2014-116568,2022-05-11 08:31:39
CA-2014-116666,2022-05-12 00:09:52
CA-2014-116673,2022-05-10 20:40:52
CA-2014-116757,2022-05-15 06:50:40
CA-2014-116785,2022-05-11 13:40:12
CA-2014-116834,2022-05-11 04:56:03
CA-2014-116904,2022-05-14 07:43:22
CA-2014-116932,2022-05-12 21:38:38
CA-2014-117016,2022-05-14 01:04:50
CA-2014-117317,2022-05-15 01:25:34
CA-2014-117345,2022-05-11 19:37:56
CA-2014-117429,2022-05-11 14:42:04
CA-2014-117464,2022-05-15 05:33:06
CA-2014-117478,2022-05-13 09:20:44
CA-2014-117639,2022-05-13 22:37:38
CA-2014-117709,2022-05-11 18:44:23
CA-2014-117765,2022-05-14 18:07:19
CA-2014-118192,2022-05-13 02:52:25
CA-2014-118276,2022-05-11 03:26:20
CA-2014-118304,2022-05-13 06:20:27
CA-2014-118339,2022-05-14 09:03:24
CA-2014-118962,2022-05-11 00:07:55
CA-2014-118976,2022-05-11 09:02:29
CA-2014-119032,2022-05-13 01:01:51
CA-2014-119144,2022-05-14 14:20:56
CA-2014-119151,2022-05-12 08:03:43
CA-2014-119172,2022-05-10 14:04:38
CA-2014-119375,2022-05-13 22:09:01
CA-2014-119466,2022-05-12 21:53:56
CA-2014-119529,2022-05-13 05:32:33
CA-2014-119977,2022-05-10 19:42:31
CA-2014-120096,2022-05-13 04:50:00
CA-2014-120243,2022-05-10 22:13:05
CA-2014-120278,2022-05-10 23:43:44
CA-2014-120411,2022-05-14 05:43:01
CA-2014-120432,2022-05-14 11:22:22
CA-2014-120474,2022-05-12 05:06:09
CA-2014-120544,2022-05-13 11:24:51
CA-2014-120670,2022-05-14 06:00:24
CA-2014-120768,2022-05-13 22:15:12
CA-2014-120775,2022-05-13 00:52:10
CA-2014-120838,2022-05-14 09:58:06
CA-2014-120852,2022-05-12 19:50:03
CA-2014-120887,2022-05-14 04:31:21
CA-2014-120950,2022-05-12 07:46:24
CA-2014-121006,2022-05-15 07:02:35
CA-2014-121167,2022-05-15 02:22:07
CA-2014-121286,2022-05-13 22:11:16
CA-2014-121573,2022-05-13 00:58:01
CA-2014-121629,2022-05-14 11:20:28
CA-2014-121664,2022-05-12 08:18:46
CA-2014-121727,2022-05-15 00:51:36
CA-2014-121762,2022-05-12 08:40:43
CA-2014-121769,2022-05-11 12:27:00
CA-2014-122070,2022-05-15 06:23:35
CA-2014-122217,2022-05-11 18:46:22
CA-2014-122336,2022-05-14 01:18:24
CA-2014-122567,2022-05-14 06:12:17
CA-2014-122588,2022-05-10 14:22:17
CA-2014-122609,2022-05-15 01:15:56
CA-2014-122679,2022-05-11 12:03:09
CA-2014-122749,2022-05-11 00:31:29
CA-2014-122882,2022-05-12 01:26:13
CA-2014-122931,2022-05-14 20:26:13
CA-2014-123064,2022-05-14 08:41:47
CA-2014-123127,2022-05-14 03:26:11
CA-2014-123225,2022-05-13 22:56:40
CA-2014-123253,2022-05-14 02:46:20
CA-2014-123260,2022-05-14 15:53:31
CA-2014-123295,2022-05-10 17:29:36
CA-2014-123316,2022-05-13 06:07:44
CA-2014-123323,2022-05-12 23:45:25
CA-2014-123344,2022-05-14 00:59:13
CA-2014-123400,2022-05-13 22:43:45
CA-2014-123477,2022-05-11 20:06:32
CA-2014-123498,2022-05-15 02:22:36
CA-2014-123855,2022-05-13 12:29:42
CA-2014-123925,2022-05-14 13:06:53
CA-2014-124023,2022-05-15 03:24:26
CA-2014-124079,2022-05-14 05:44:56
CA-2014-124247,2022-05-11 02:08:52
CA-2014-124394,2022-05-11 09:43:12
CA-2014-124429,2022-05-12 13:52:51
CA-2014-124464,2022-05-14 20:58:08
CA-2014-124478,2022-05-13 19:06:29
CA-2014-124513,2022-05-12 23:52:00
CA-2014-124618,2022-05-14 12:13:51
CA-2014-124646,2022-05-12 05:30:00
CA-2014-124688,2022-05-14 02:27:30
CA-2014-124702,2022-05-12 16:52:08
CA-2014-124709,2022-05-13 02:26:26
CA-2014-124723,2022-05-12 14:24:55
CA-2014-124730,2022-05-11 23:35:42
CA-2014-124737,2022-05-13 14:58:23
CA-2014-124807,2022-05-12 13:10:51
CA-2014-124856,2022-05-12 16:16:16
CA-2014-125136,2022-05-13 18:58:59
CA-2014-125150,2022-05-14 11:55:29
CA-2014-125171,2022-05-11 17:06:01
CA-2014-125514,2022-05-13 21:59:51
CA-2014-125542,2022-05-11 13:53:54
CA-2014-125556,2022-05-12 22:26:45
CA-2014-125612,2022-05-14 22:23:05
CA-2014-125682,2022-05-13 03:53:27
CA-2014-125731,2022-05-10 23:21:35
CA-2014-125759,2022-05-12 12:48:16
CA-2014-125829,2022-05-15 04:09:14
CA-2014-125997,2022-05-11 07:52:12
CA-2014-126032,2022-05-15 01:27:30
CA-2014-126193,2022-05-15 04:19:23
CA-2014-126200,2022-05-14 18:54:17
CA-2014-126277,2022-05-12 12:46:27
CA-2014-126333,2022-05-11 06:32:39
CA-2014-126361,2022-05-11 08:28:11
CA-2014-126403,2022-05-13 20:09:53
CA-2014-126480,2022-05-11 10:56:54
CA-2014-126522,2022-05-10 14:01:17
CA-2014-126683,2022-05-11 17:48:34
CA-2014-126760,2022-05-12 17:32:30
CA-2014-126802,2022-05-11 22:21:32
CA-2014-126907,2022-05-11 12:21:50
CA-2014-126963,2022-05-13 01:42:36
CA-2014-127012,2022-05-13 18:26:56
CA-2014-127131,2022-05-15 08:20:59
CA-2014-127159,2022-05-14 13:09:03
CA-2014-127166,2022-05-14 20:32:49
CA-2014-127187,2022-05-12 00:36:03
CA-2014-127299,2022-05-14 17:35:03
CA-2014-127383,2022-05-12 06:57:09
CA-2014-127446,2022-05-12 10:10:55
CA-2014-127488,2022-05-10 21:10:13
CA-2014-127523,2022-05-11 04:54:44
CA-2014-127558,2022-05-12 03:44:23
CA-2014-127586,2022-05-13 01:17:53
CA-2014-127614,2022-05-14 06:38:02
CA-2014-127691,2022-05-13 19:13:38
CA-2014-127859,2022-05-10 16:36:54
CA-2014-127866,2022-05-12 12:06:31
CA-2014-127936,2022-05-13 08:01:22
CA-2014-127964,2022-05-12 13:17:18
CA-2014-128055,2022-05-10 18:50:52
CA-2014-128062,2022-05-11 05:18:47
CA-2014-128146,2022-05-10 19:51:09
CA-2014-128209,2022-05-12 10:05:28
CA-2014-128237,2022-05-13 04:46:32
CA-2014-128524,2022-05-15 00:04:09
CA-2014-128538,2022-05-12 10:34:43
CA-2014-128622,2022-05-10 12:07:55
CA-2014-128839,2022-05-11 11:52:36
CA-2014-128846,2022-05-11 09:30:50
CA-2014-128888,2022-05-12 21:06:10
CA-2014-128986,2022-05-13 03:08:27
CA-2014-129091,2022-05-13 08:57:10
CA-2014-129147,2022-05-10 17:55:37
CA-2014-129168,2022-05-13 19:50:44
CA-2014-129189,2022-05-12 22:52:28
CA-2014-129364,2022-05-11 17:03:21
CA-2014-129574,2022-05-12 14:20:18
CA-2014-129819,2022-05-12 19:00:42
CA-2014-129924,2022-05-11 16:55:30
CA-2014-129938,2022-05-13 19:19:04
CA-2014-130092,2022-05-13 08:31:19
CA-2014-130155,2022-05-14 00:13:25
CA-2014-130274,2022-05-12 13:40:47
CA-2014-130421,2022-05-11 00:36:41
CA-2014-130428,2022-05-12 10:56:09
CA-2014-130449,2022-05-14 15:04:30
CA-2014-130575,2022-05-12 01:06:47
CA-2014-130624,2022-05-11 18:29:42
CA-2014-130673,2022-05-13 23:26:49
CA-2014-130729,2022-05-11 11:24:23
CA-2014-130813,2022-05-13 11:10:41
CA-2014-130869,2022-05-13 08:51:13
CA-2014-130918,2022-05-12 06:26:23
CA-2014-130960,2022-05-12 20:33:14
CA-2014-131002,2022-05-11 12:48:58
CA-2014-131009,2022-05-14 17:47:59
CA-2014-131051,2022-05-13 13:49:06
CA-2014-131247,2022-05-12 18:55:37
CA-2014-131310,2022-05-13 13:27:34
CA-2014-131387,2022-05-12 13:44:51
CA-2014-131450,2022-05-11 10:16:11
CA-2014-131527,2022-05-12 01:30:39
CA-2014-131541,2022-05-12 20:22:17
CA-2014-131800,2022-05-12 17:53:20
CA-2014-131905,2022-05-12 00:32:50
CA-2014-131926,2022-05-12 07:23:00
CA-2014-131947,2022-05-15 07:09:15
CA-2014-132010,2022-05-12 16:29:43
CA-2014-132227,2022-05-11 12:23:34
CA-2014-132451,2022-05-13 19:14:56
CA-2014-132500,2022-05-15 08:26:10
CA-2014-132542,2022-05-11 21:51:03
CA-2014-132612,2022-05-13 19:47:15
CA-2014-132787,2022-05-12 13:07:36
CA-2014-132801,2022-05-13 20:26:05
CA-2014-132864,2022-05-11 06:51:01
CA-2014-132913,2022-05-13 05:30:17
CA-2014-132962,2022-05-12 04:22:05
CA-2014-132983,2022-05-14 03:28:28
CA-2014-133158,2022-05-11 11:27:35
CA-2014-133228,2022-05-13 02:26:00
CA-2014-133270,2022-05-13 01:33:45
CA-2014-133305,2022-05-13 22:54:32
CA-2014-133354,2022-05-12 16:11:45
CA-2014-133389,2022-05-15 05:34:37
CA-2014-133424,2022-05-13 14:48:01
CA-2014-133543,2022-05-14 23:07:15
CA-2014-133592,2022-05-14 11:23:32
CA-2014-133634,2022-05-11 22:40:26
CA-2014-133690,2022-05-11 13:01:10
CA-2014-133704,2022-05-14 11:30:47
CA-2014-133753,2022-05-12 10:47:14
CA-2014-133809,2022-05-11 01:02:49
CA-2014-133830,2022-05-11 19:58:07
CA-2014-133851,2022-05-14 02:33:25
CA-2014-133963,2022-05-11 22:12:53
CA-2014-134061,2022-05-10 13:21:50
CA-2014-134103,2022-05-13 07:05:33
CA-2014-134215,2022-05-11 09:01:11
CA-2014-134278,2022-05-12 06:47:56
CA-2014-134313,2022-05-11 17:12:56
CA-2014-134551,2022-05-13 19:34:23
CA-2014-134572,2022-05-10 22:43:07
CA-2014-134621,2022-05-13 17:10:18
CA-2014-134677,2022-05-15 06:24:09
CA-2014-134726,2022-05-11 13:46:02
CA-2014-135090,2022-05-14 01:30:53
CA-2014-135405,2022-05-12 17:33:56
CA-2014-135608,2022-05-10 16:28:26
CA-2014-135657,2022-05-10 14:34:15
CA-2014-135699,2022-05-11 02:46:02
CA-2014-135755,2022-05-14 06:26:27
CA-2014-135993,2022-05-12 15:48:53
CA-2014-136336,2022-05-15 04:15:54
CA-2014-136399,2022-05-12 22:07:04
CA-2014-136567,2022-05-14 01:20:29
CA-2014-136644,2022-05-10 15:00:21
CA-2014-136742,2022-05-14 07:11:03
CA-2014-136861,2022-05-14 19:26:57
CA-2014-137092,2022-05-10 23:56:23
CA-2014-137274,2022-05-11 13:19:01
CA-2014-137351,2022-05-15 02:02:50
CA-2014-137575,2022-05-13 11:29:57
CA-2014-137589,2022-05-12 07:49:26
CA-2014-137911,2022-05-13 20:26:51
CA-2014-138023,2022-05-11 20:20:09
CA-2014-138072,2022-05-11 03:46:01
CA-2014-138100,2022-05-14 13:10:04
CA-2014-138128,2022-05-13 13:33:17
CA-2014-138177,2022-05-11 13:57:58
CA-2014-138198,2022-05-11 23:15:14
CA-2014-138240,2022-05-14 20:13:24
CA-2014-138296,2022-05-12 10:45:32
CA-2014-138317,2022-05-12 01:28:09
CA-2014-138359,2022-05-14 03:51:38
CA-2014-138436,2022-05-14 23:03:39
CA-2014-138450,2022-05-13 17:03:58
CA-2014-138513,2022-05-11 02:51:10
CA-2014-138527,2022-05-11 01:07:20
CA-2014-138681,2022-05-11 20:08:23
CA-2014-138709,2022-05-12 02:42:21
CA-2014-138737,2022-05-12 19:14:49
CA-2014-138940,2022-05-11 04:01:09
CA-2014-139017,2022-05-12 21:19:33
CA-2014-139192,2022-05-14 08:05:44
CA-2014-139283,2022-05-13 21:08:08
CA-2014-139423,2022-05-14 09:32:51
CA-2014-139451,2022-05-13 09:25:24
CA-2014-139542,2022-05-12 11:17:59
CA-2014-139598,2022-05-10 18:56:10
CA-2014-139633,2022-05-15 02:29:10
CA-2014-139857,2022-05-13 01:20:20
CA-2014-139892,2022-05-12 10:57:55
CA-2014-140004,2022-05-14 23:39:32
CA-2014-140032,2022-05-13 15:44:06
CA-2014-140039,2022-05-14 00:43:50
CA-2014-140165,2022-05-13 07:35:09
CA-2014-140228,2022-05-12 13:05:39
CA-2014-140396,2022-05-13 07:26:39
CA-2014-140403,2022-05-13 23:08:11
CA-2014-140473,2022-05-14 22:42:06
CA-2014-140487,2022-05-15 08:43:55
CA-2014-140662,2022-05-11 23:35:57
CA-2014-140732,2022-05-14 20:18:54
CA-2014-140795,2022-05-14 07:48:17
CA-2014-140816,2022-05-14 20:53:02
CA-2014-140858,2022-05-13 14:53:52
CA-2014-140886,2022-05-13 23:04:48
CA-2014-141005,2022-05-13 05:52:54
CA-2014-141110,2022-05-15 02:34:26
CA-2014-141152,2022-05-12 11:09:50
CA-2014-141173,2022-05-10 15:07:14
CA-2014-141278,2022-05-12 10:35:32
CA-2014-141299,2022-05-15 00:17:56
CA-2014-141313,2022-05-13 16:00:28
CA-2014-141355,2022-05-12 20:59:24
CA-2014-141607,2022-05-11 08:36:54
CA-2014-141649,2022-05-10 17:21:43
CA-2014-141726,2022-05-12 04:03:23
CA-2014-141796,2022-05-14 14:52:16
CA-2014-141817,2022-05-14 17:07:21
CA-2014-141838,2022-05-11 01:55:00
CA-2014-141901,2022-05-10 22:29:54
CA-2014-142048,2022-05-10 21:33:08
CA-2014-142314,2022-05-13 23:37:54
CA-2014-142510,2022-05-13 08:51:06
CA-2014-142587,2022-05-12 16:32:20
CA-2014-142727,2022-05-15 00:38:42
CA-2014-142769,2022-05-12 08:03:15
CA-2014-142839,2022-05-13 01:03:34
CA-2014-142951,2022-05-10 23:25:38
CA-2014-142965,2022-05-10 18:01:13
CA-2014-142979,2022-05-10 13:23:08
CA-2014-143168,2022-05-13 23:14:10
CA-2014-143182,2022-05-11 14:34:07
CA-2014-143210,2022-05-13 20:13:51
CA-2014-143336,2022-05-12 01:18:50
CA-2014-143371,2022-05-13 09:03:50
CA-2014-143385,2022-05-11 11:00:14
CA-2014-143413,2022-05-13 03:06:03
CA-2014-143637,2022-05-14 21:26:58
CA-2014-143840,2022-05-14 09:55:00
CA-2014-143903,2022-05-14 19:23:25
CA-2014-143917,2022-05-11 05:18:00
CA-2014-144029,2022-05-11 07:16:36
CA-2014-144071,2022-05-13 19:28:16
CA-2014-144281,2022-05-11 03:48:01
CA-2014-144407,2022-05-14 21:53:28
CA-2014-144414,2022-05-11 08:22:56
CA-2014-144624,2022-05-10 12:23:14
CA-2014-144666,2022-05-13 12:36:37
CA-2014-144974,2022-05-11 00:26:57
CA-2014-145212,2022-05-12 20:48:59
CA-2014-145254,2022-05-14 14:16:40
CA-2014-145317,2022-05-13 00:49:30
CA-2014-145387,2022-05-14 03:33:17
CA-2014-145541,2022-05-11 22:01:05
CA-2014-145576,2022-05-14 22:08:42
CA-2014-145800,2022-05-13 16:43:20
CA-2014-145926,2022-05-13 21:09:06
CA-2014-146283,2022-05-12 15:34:37
CA-2014-146500,2022-05-13 22:44:27
CA-2014-146528,2022-05-12 02:55:28
CA-2014-146591,2022-05-11 19:05:24
CA-2014-146640,2022-05-13 18:26:04
CA-2014-146703,2022-05-13 10:29:30
CA-2014-146731,2022-05-11 05:10:03
CA-2014-146815,2022-05-12 06:55:02
CA-2014-146843,2022-05-14 10:48:54
CA-2014-146864,2022-05-13 10:54:35
CA-2014-146885,2022-05-10 20:20:41
CA-2014-146969,2022-05-12 05:54:51
CA-2014-146990,2022-05-14 09:55:29
CA-2014-146997,2022-05-15 03:26:03
CA-2014-147235,2022-05-14 19:48:46
CA-2014-147298,2022-05-12 16:09:12
CA-2014-147543,2022-05-11 16:04:28
CA-2014-147900,2022-05-12 22:23:03
CA-2014-147914,2022-05-13 18:57:27
CA-2014-148040,2022-05-14 03:56:52
CA-2014-148285,2022-05-14 07:38:07
CA-2014-148369,2022-05-14 15:29:06
CA-2014-148383,2022-05-14 12:17:53
CA-2014-148425,2022-05-11 07:19:53
CA-2014-148488,2022-05-13 09:06:19
CA-2014-148586,2022-05-13 21:18:07
CA-2014-148614,2022-05-14 07:07:50
CA-2014-148761,2022-05-13 16:04:57
CA-2014-148782,2022-05-11 03:23:31
CA-2014-148915,2022-05-11 18:27:58
CA-2014-148950,2022-05-12 15:21:54
CA-2014-149020,2022-05-12 06:18:05
CA-2014-149055,2022-05-13 19:50:23
CA-2014-149104,2022-05-12 14:53:13
CA-2014-149244,2022-05-15 03:27:24
CA-2014-149524,2022-05-12 06:36:38
CA-2014-149538,2022-05-12 17:47:12
CA-2014-149594,2022-05-12 07:29:08
CA-2014-149643,2022-05-11 01:56:51
CA-2014-149958,2022-05-15 03:55:38
CA-2014-150203,2022-05-11 10:15:02
CA-2014-150245,2022-05-13 09:30:03
CA-2014-150301,2022-05-12 15:26:37
CA-2014-150329,2022-05-12 18:27:53
CA-2014-150490,2022-05-13 20:58:01
CA-2014-150518,2022-05-12 09:18:59
CA-2014-150581,2022-05-13 12:06:49
CA-2014-150798,2022-05-13 14:44:40
CA-2014-151001,2022-05-13 09:06:54
CA-2014-151078,2022-05-12 11:17:11
CA-2014-151162,2022-05-14 04:31:55
CA-2014-151295,2022-05-14 13:15:50
CA-2014-151330,2022-05-12 11:55:38
CA-2014-151379,2022-05-13 01:24:30
CA-2014-151554,2022-05-12 17:33:34
CA-2014-151708,2022-05-15 07:17:03
CA-2014-151792,2022-05-14 17:45:17
CA-2014-151897,2022-05-11 06:22:27
CA-2014-151946,2022-05-11 04:06:26
CA-2014-151953,2022-05-13 14:03:59
CA-2014-151967,2022-05-13 16:30:53
CA-2014-151995,2022-05-11 20:37:12
CA-2014-152100,2022-05-14 01:46:32
CA-2014-152233,2022-05-12 15:52:33
CA-2014-152254,2022-05-10 12:18:25
CA-2014-152268,2022-05-12 15:29:03
CA-2014-152296,2022-05-12 09:53:26
CA-2014-152345,2022-05-11 04:24:35
CA-2014-152422,2022-05-12 04:21:00
CA-2014-152443,2022-05-14 14:20:48
CA-2014-152562,2022-05-13 13:20:01
CA-2014-152618,2022-05-14 00:42:21
CA-2014-152849,2022-05-13 04:51:32
CA-2014-152905,2022-05-10 23:06:07
CA-2014-153087,2022-05-15 04:24:22
CA-2014-153150,2022-05-12 17:10:59
CA-2014-153479,2022-05-11 17:27:53
CA-2014-153619,2022-05-12 21:40:42
CA-2014-153808,2022-05-11 12:22:12
CA-2014-153850,2022-05-12 23:27:57
CA-2014-153913,2022-05-14 17:47:16
CA-2014-153927,2022-05-14 14:59:07
CA-2014-153969,2022-05-13 00:47:23
CA-2014-153976,2022-05-11 20:36:02
